French,English
8 cores,8 cores
ACTIONS,ACTIONS
API Key,API Key
ARCHIVÉ,ARCHIVÉ
Accès :,Accès :
Acteur:,Acteur:
Actions,Actions
Activer,Activer
Actives,Actives
Activée,Activée
Ajouter,Ajouter
Analyse,Analyse
Annuler,Annuler
Archivé,Archivé
Astuces,Astuces
Ce mois,Ce mois
Changer,Changer
Client:,Client:
Clients,Clients
Complet,Complet
Compris,Compris
Contact,Contact
Contenu,Contenu
Couleur,Couleur
Créé le,Créé le
Dates :,Dates :
Domaine,Domaine
Durée :,Durée :
Délai :,Délai :
Détails,Détails
Email *,Email *
Faibles,Faibles
Fichier,Fichier
Filtrer,Filtrer
Filtres,Filtres
Finance,Finance
Force :,Force :
Formule,Formule
Gratuit,Gratuit
Gravité,Gravité
Général,Général
Hauteur,Hauteur
Impact:,Impact:
Inactif,Inactif
Journal,Journal
L'audit,L'audit
Largeur,Largeur
Limites,Limites
Légende,Légende
Majeure,Majeure
Manager,Manager
Matrice,Matrice
Maximum,Maximum
Mensuel,Mensuel
Mesures,Mesures
Mineure,Mineure
Minimum,Minimum
Modifié,Modifié
Modules,Modules
Montant,Montant
Moyenne,Moyenne
Médiane,Médiane
Niveau:,Niveau:
Notes :,Notes :
Nouveau,Nouveau
Options,Options
Oui/Non,Oui/Non
Partagé,Partagé
Phase 1,Phase 1
Phase 2,Phase 2
Phase 3,Phase 3
Premium,Premium
Preuves,Preuves
Produit,Produit
Projets,Projets
Publics,Publics
Période,Période
QR Code,QR Code
Qualité,Qualité
Rapport,Rapport
Retards,Retards
Retardé,Retardé
Retirer,Retirer
Revenir,Revenir
Risques,Risques
SSL/TLS,SSL/TLS
Serveur,Serveur
Service,Service
Session,Session
Starter,Starter
Statut:,Statut:
Suivant,Suivant
Sujet *,Sujet *
Support,Support
Système,Système
Terminé,Terminé
Titre :,Titre :
Twitter,Twitter
Validée,Validée
minutes,minutes
modules,modules
risques,risques
section,section
À faire,À faire
Échelle,Échelle
Évaluer,Évaluer
(unique),(unique)
2:30 min,2:30 min
30 jours,30 jours
3:15 min,3:15 min
4:10 min,4:10 min
API REST,API REST
Activité,Activité
Afficher,Afficher
Archiver,Archiver
Archives,Archives
Archivée,Archivée
Archivés,Archivés
Astuce :,Astuce :
Auditeur,Auditeur
CRITIQUE,CRITIQUE
CRÉATION,CRÉATION
Campagne,Campagne
Certifié,Certifié
Client :,Client :
Clôturer,Clôturer
Clôturés,Clôturés
Conforme,Conforme
Conseils,Conseils
Contexte,Contexte
Contrôle,Contrôle
Couleurs,Couleurs
Critique,Critique
Créateur,Créateur
Création,Création
Créé le:,Créé le:
Créé par,Créé par
Créée le,Créée le
DANGER :,DANGER :
Date fin,Date fin
Document,Document
En Cours,En Cours
En cours,En cours
Exigence,Exigence
Exporter,Exporter
Facebook,Facebook
Features,Features
Fichiers,Fichiers
Fonction,Fonction
Formules,Formules
Gravité:,Gravité:
Horaires,Horaires
INTITULÉ,INTITULÉ
Illimité,Illimité
Immédiat,Immédiat
Importer,Importer
Imprimer,Imprimer
Inactive,Inactive
Intitulé,Intitulé
Lien Non,Lien Non
Lien Oui,Lien Oui
LinkedIn,LinkedIn
Managers,Managers
Maîtrise,Maîtrise
Modifier,Modifier
Module :,Module :
Multiple,Multiple
Méthode:,Méthode:
Non lues,Non lues
Nouvelle,Nouvelle
Planifié,Planifié
Ponctuel,Ponctuel
Port SSH,Port SSH
Portée :,Portée :
Position,Position
Priorité,Priorité
Pré-éval,Pré-éval
Prénom *,Prénom *
Question,Question
Raison :,Raison :
Rapports,Rapports
Renommer,Renommer
RÉPONSES,RÉPONSES
Réponse:,Réponse:
Réponses,Réponses
Secteurs,Secteurs
Service:,Service:
Solution,Solution
Standard,Standard
Statut :,Statut :
Stockage,Stockage
Suspendu,Suspendu
Synthèse,Synthèse
Sécurité,Sécurité
Tendance,Tendance
Terminée,Terminée
Terminés,Terminés
Uploader,Uploader
Urgentes,Urgentes
Username,Username
Valeur *,Valeur *
Valeur :,Valeur :
Validité,Validité
Webhooks,Webhooks
WhatsApp,WhatsApp
admin123,admin123
features,features
À propos,À propos
À revoir,À revoir
Échéance,Échéance
Éléments,Éléments
••••••••,••••••••
${niveau},${niveau}
2 - Rare:,2 - Rare:
29 points,29 points
2FA Ready,2FA Ready
36 points,36 points
38 points,38 points
41 points,41 points
45 points,45 points
47 points,47 points
52 points,52 points
Abandonné,Abandonné
Activités,Activités
Activé le,Activé le
Ajouté le,Ajouté le
Analytics,Analytics
Appliquer,Appliquer
Archivées,Archivées
Auditeurs,Auditeurs
Avantages,Avantages
CATÉGORIE,CATÉGORIE
Campagne:,Campagne:
Carrières,Carrières
Catégorie,Catégorie
Classique,Classique
Client ID,Client ID
Commencer,Commencer
Complètes,Complètes
Confirmer,Confirmer
Confirmée,Confirmée
Conformes,Conformes
Connexion,Connexion
Conseil :,Conseil :
Consulter,Consulter
Continuer,Continuer
Criticité,Criticité
Critiques,Critiques
Critères:,Critères:
Créer KRI,Créer KRI
Créé le :,Créé le :
Créé par:,Créé par:
Créée le:,Créée le:
Dashboard,Dashboard
Date fin:,Date fin:
Direction,Direction
Directive,Directive
Dissocier,Dissocier
Documents,Documents
Dupliquer,Dupliquer
Désactivé,Désactivé
Détails :,Détails :
EN DIRECT,EN DIRECT
EN RETARD,EN RETARD
En Retard,En Retard
En action,En action
En alerte,En alerte
En hausse,En hausse
En retard,En retard
Expire le,Expire le
Fichier :,Fichier :
Financier,Financier
Formule :,Formule :
Fréquence,Fréquence
Graphique,Graphique
Gravité *,Gravité *
Gravité :,Gravité :
IMPORTANT,IMPORTANT
ISO 27001,ISO 27001
Identique,Identique
Important,Important
Incidents,Incidents
Industrie,Industrie
Intitulé:,Intitulé:
KRI & KPI,KRI & KPI
KRI créés,KRI créés
Libellé *,Libellé *
Limites :,Limites :
Livrable:,Livrable:
Manager :,Manager :
Maîtrise:,Maîtrise:
Message *,Message *
Nettoyage,Nettoyage
Nom court,Nom court
Objectif:,Objectif:
Objectifs,Objectifs
PROCESSUS,PROCESSUS
Plus tard,Plus tard
Processus,Processus
Précédent,Précédent
Périmètre,Périmètre
Période :,Période :
Quotidien,Quotidien
Recherche,Recherche
Remplacer,Remplacer
Restaurer,Restaurer
RÉFÉRENCE,RÉFÉRENCE
Réactiver,Réactiver
Réessayer,Réessayer
Référence,Référence
Réponses:,Réponses:
Saisi par,Saisi par
Service :,Service :
Société *,Société *
Solutions,Solutions
Sous-état,Sous-état
Support :,Support :
Supprimer,Supprimer
Suspendre,Suspendre
Sélection,Sélection
Templates,Templates
Terminées,Terminées
Tri actif,Tri actif
Téléphone,Téléphone
Valeurs :,Valeurs :
Voir plus,Voir plus
Voir tous,Voir tous
Votre nom,Votre nom
Vous-même,Vous-même
Workflows,Workflows
approprié,approprié
À traiter,À traiter
À valider,À valider
À évaluer,À évaluer
Échéances,Échéances
Éléments:,Éléments:
● À faire,● À faire
${dateStr},${dateStr}
${message},${message}
1 - Faible,1 - Faible
4. Clôture,4. Clôture
API Secret,API Secret
Abonnement,Abonnement
Actualiser,Actualiser
Ajoutez un,Ajoutez un
Ajouté par,Ajouté par
Analyse IA,Analyse IA
Analytique,Analytique
Archivé le,Archivé le
Attention:,Attention:
Audit clos,Audit clos
Auditeur :,Auditeur :
Audits max,Audits max
Avancement,Avancement
Calendrier,Calendrier
Catégorie:,Catégorie:
Catégories,Catégories
Conformité,Conformité
Connexions,Connexions
Conseils :,Conseils :
Consultant,Consultant
Corrective,Corrective
Critères :,Critères :
Date début,Date début
Date fin :,Date fin :
Date/Heure,Date/Heure
Debug JSON,Debug JSON
Diagnostic,Diagnostic
Différence,Différence
Dimensions,Dimensions
Direction:,Direction:
Début réel,Début réel
Dédié 24/7,Dédié 24/7
Désactiver,Désactiver
Désactivée,Désactivée
En Analyse,En Analyse
En attente,En attente
En retard!,En retard!
En vigueur,En vigueur
Enterprise,Enterprise
Entreprise,Entreprise
Excellence,Excellence
Exemples :,Exemples :
Exigence *,Exigence *
Export PDF,Export PDF
Features :,Features :
Fichiers :,Fichiers :
Fin prévue,Fin prévue
Fin réelle,Fin réelle
Financier:,Financier:
Fréquence:,Fréquence:
Historique,Historique
IA Avancée,IA Avancée
Indicateur,Indicateur
Juridique:,Juridique:
KRI ACTIFS,KRI ACTIFS
KRI Actifs,KRI Actifs
Max audits,Max audits
Module lié,Module lié
Modèle IA:,Modèle IA:
Mon Profil,Mon Profil
Mon profil,Mon profil
NLP Avancé,NLP Avancé
Navigation,Navigation
Non évalué,Non évalué
Opérations,Opérations
Pagination,Pagination
Par défaut,Par défaut
Paramètres,Paramètres
Permission,Permission
Plateforme,Plateforme
Priorité :,Priorité :
Production,Production
Préventive,Préventive
Rafraîchir,Rafraîchir
Recherche:,Recherche:
Rechercher,Rechercher
Recommandé,Recommandé
Ressources,Ressources
Référence:,Référence:
Références,Références
Structure:,Structure:
Sur mesure,Sur mesure
Sécurité :,Sécurité :
Séparation,Séparation
Temps Réel,Temps Réel
Texte long,Texte long
Timestamp:,Timestamp:
Tous types,Tous types
Téléverser,Téléverser
VISIBILITÉ,VISIBILITÉ
Validation,Validation
Visibilité,Visibilité
Visualiser,Visualiser
Voir moins,Voir moins
Votre vue:,Votre vue:
Vue Client,Vue Client
Zoom avant,Zoom avant
analyse_ia,analyse_ia
breadcrumb,breadcrumb
À analyser,À analyser
ÉVALUATION,ÉVALUATION
Échéance :,Échéance :
Évaluateur,Évaluateur
Évaluation,Évaluation
● En cours,● En cours
${filename},${filename}
0 && valeur,0 && valeur
1. Création,1. Création
2 - Mineur:,2 - Mineur:
3 - Modéré:,3 - Modéré:
75008 Paris,75008 Paris
ASSOCIÉ VIA,ASSOCIÉ VIA
Abandonnées,Abandonnées
Adresse IP:,Adresse IP:
Affectation,Affectation
Alertes KRI,Alertes KRI
Analyses IA,Analyses IA
Archivé le:,Archivé le:
Archivé par,Archivé par
Archivée le,Archivée le
Attention !,Attention !
Attention :,Attention :
Aujourd'hui,Aujourd'hui
Automatique,Automatique
Catégorie :,Catégorie :
Catégories:,Catégories:
Cette année,Cette année
Code unique,Code unique
Commentaire,Commentaire
Comparaison,Comparaison
Créée par :,Créée par :
Date de fin,Date de fin
Date début:,Date début:
Description,Description
Direction :,Direction :
Début prévu,Début prévu
Déconnexion,Déconnexion
Département,Département
Dépendances,Dépendances
Enregistrer,Enregistrer
Entreprises,Entreprises
Fusionner :,Fusionner :
ID d'erreur,ID d'erreur
IMPACT/PROB,IMPACT/PROB
Identifiant,Identifiant
Impact/Prob,Impact/Prob
Important :,Important :
Indicateurs,Indicateurs
Indépendant,Indépendant
Information,Information
Initialiser,Initialiser
Intelligent,Intelligent
KRI Associé,KRI Associé
LOGIGRAMMES,LOGIGRAMMES
Lien Normal,Lien Normal
Lien public,Lien public
Logigrammes,Logigrammes
Max risques,Max risques
Mes données,Mes données
Modifié le:,Modifié le:
Métadonnées,Métadonnées
Navigateur:,Navigateur:
Nom affiché,Nom affiché
Nom du Plan,Nom du Plan
Nom du plan,Nom du plan
Non assigné,Non assigné
Non définie,Non définie
Nos Clients,Nos Clients
Notre siège,Notre siège
Nouveau KRI,Nouveau KRI
Objectifs :,Objectifs :
Obligatoire,Obligatoire
Observation,Observation
PDF Complet,PDF Complet
PROGRESSION,PROGRESSION
Paramétrage,Paramétrage
Partenaires,Partenaires
Permissions,Permissions
Plein écran,Plein écran
Plus ancien,Plus ancien
Plus récent,Plus récent
Pourcentage,Pourcentage
Probabilité,Probabilité
Processus :,Processus :
Progression,Progression
Préférences,Préférences
Rapport PDF,Rapport PDF
Remplacer :,Remplacer :
Responsable,Responsable
Risques max,Risques max
Réalisation,Réalisation
Référence :,Référence :
Réputation:,Réputation:
SOUS-STATUT,SOUS-STATUT
Sans client,Sans client
Sauvegarder,Sauvegarder
Score Final,Score Final
Score Moyen,Score Moyen
Score moyen,Score moyen
Super Admin,Super Admin
Texte court,Texte court
Total Plans,Total Plans
Transversal,Transversal
Trimestriel,Trimestriel
Télécharger,Télécharger
Témoignages,Témoignages
User Agent:,User Agent:
Utilisateur,Utilisateur
Utilisation,Utilisation
Utilisez le,Utilisez le
Voir détail,Voir détail
Voir le KRI,Voir le KRI
Voir toutes,Voir toutes
Voir/Éditer,Voir/Éditer
Vue Globale,Vue Globale
Vue Matrice,Vue Matrice
Vue Risques,Vue Risques
Zoom normal,Zoom normal
obligatoire,obligatoire
superadmin2,superadmin2
transformer,transformer
Échelle max,Échelle max
Échelle min,Échelle min
● Archivées,● Archivées
● Terminées,● Terminées
3. Exécution,3. Exécution
5 - Critique,5 - Critique
Accès rapide,Accès rapide
Actions/Docs,Actions/Docs
Admin Client,Admin Client
Amélioration,Amélioration
Aucun client,Aucun client
Aucun risque,Aucun risque
Avancement :,Avancement :
CARTOGRAPHIE,CARTOGRAPHIE
Cartographie,Cartographie
Cause racine,Cause racine
Ce trimestre,Ce trimestre
Choix unique,Choix unique
Commentaire:,Commentaire:
Commentaires,Commentaires
Confirmation,Confirmation
Constatation,Constatation
Coordinateur,Coordinateur
Créer un KRI,Créer un KRI
Date début :,Date début :
Dernier mois,Dernier mois
Description:,Description:
Données JSON,Données JSON
Département:,Département:
Export Excel,Export Excel
Exporter PDF,Exporter PDF
FK Corporate,FK Corporate
Faible (1-4),Faible (1-4)
Gestionnaire,Gestionnaire
Guide rapide,Guide rapide
Hebdomadaire,Hebdomadaire
Impact (1-5),Impact (1-5)
Impact Final,Impact Final
Impact Moyen,Impact Moyen
Impact moyen,Impact moyen
Impact Élevé,Impact Élevé
Impact élevé,Impact élevé
Indépendants,Indépendants
Informations,Informations
Informatique,Informatique
Instructions,Instructions
Intelligence,
Intégrations,Integrations
KRI Archivés,KRI Archived
Lien public:,Public link:
Mises à jour,Updates
Modifier KRI,Edit KRI
Modifié le :,Modified on:
Module actif,Active module
Mot de passe,Password
Moyen (5-10),Medium (5-10)
Niveau Final,Final Level
Nom du KRI *,Name of KRI *
Non autorisé,Not allowed
Non conforme,Non-compliant
Non planifié,Unplanned
Non répondue,Not answered
Non spécifié,Not specified
Nouveau Plan,New Plan
Nouveautés :,What's new:
Nouvel Audit,New Audit
Nouvel audit,New audit
Observations,Comments
Opérationnel,Operational
Organisation,Organization
PDF standard,Standard PDF
Personnalisé,Custom
Plan terminé,Completed plan
Plus anciens,Older
Plus récents,Most recent
Points Forts,Strengths
Priorisation,Prioritization
Prix mensuel,Monthly price
Probabilité:,Probability:
Progression:,Progress:
Préférez les,Prefer them
Responsable:,Responsible:
Restaurables,Restorable
Restrictions,
Retour audit,Return audit
Satisfaction,
Score final:,Final score:
Score global,Overall score
Score validé,Score validated
Se connecter,Log in
Serveur FR-1,FR-1 Server
Sophie Leroy,
Sous-actions,Sub-actions
Sous-domaine,Subdomain
Statistiques,Statistics
Super Admin:,
Super Admins,
Supprimables,Deletable
Surveillance,Monitoring
Synchroniser,Synchronize
Tarification,Pricing
Total Audits,
Tous clients,All customers
Tout Effacer,Clear all
Tout activer,Enable all
Tout effacer,Clear all
Type d'audit,Audit type
Type de Lien,Link Type
Utilisateur:,User:
Utilisateurs,Users
Utilisation:,Use:
Validation :,Validation:
Voir détails,See details
Voir l'audit,View the audit
Voir la démo,See the demo
Voir le plan,See the map
Votre client,Your customer
Zoom arrière,Zoom out
plans_action,action_plans
texte d'aide,help text
utilisateurs,users
Évaluer tous,Rate all
3 - Possible:,
4 - Probable:,4 - Likely:
5 - Critique:,5 - Review:
API Developer,
Actions Total,Shares Total
Admins Client,Customer Admins
Aucune mesure,No measurement
Aucune preuve,No evidence
Audit Interne,Internal Audit
Audit démarré,Audit started
Audit terminé,Audit completed
Audits Actifs,Active Audits
Base partagée,Shared base
Boutons radio,Radio buttons
Cartographie:,Mapping:
Cartographies,
Cause racine:,Root cause:
Cette semaine,This week
Chargement...,Loading...
Choisissez le,Choose it
Collaboration,
Commentaire :,Comment :
Configuration,
Constatations,Findings
Conséquences:,Consequences:
Date création,Creation date
Date d'upload,Upload date
Date de début,Start date
Date échéance,Due date
Dates prévues,Planned dates
Deep Learning,
Description *,
Description :,
Disponibilité,Availability
Documentation,
Définissez le,Define it
Démonstration,Demonstration
Effectuée par,Performed by
En validation,In validation
Espace Client,Customer Area
Essai gratuit,Free trial
Export rapide,Quick export
Export/Import,
Exporter Word,Export Word
Gérer les KRI,Manage KRIs
IP du serveur,Server IP
Identifiant :,Identifier:
Impact Faible,Low Impact
Impact ajusté,Adjusted impact
Impact faible,Low impact
Impact final:,Final impact:
Information :,
Informations:,Information:
Jamais évalué,Never rated
KPI seulement,KPI only
KRI en Alerte,KRI on Alert
KRI seulement,KRI only
Marie Laurent,
Mettre à jour,To update
Mise en pause,Pause
"Mode Client""""","Customer mode"""""
Modifications,Changes
Moyenne Score,Average Score
Niveau Actuel,Current Level
Nom complet *,Full name *
Nom du client,Customer Name
Nom du plan *,Plan name *
Nom technique,Technical name
Non configuré,Not configured
Non conformes,Non-compliant
Non renseigné,Not specified
Notifications,
Nouveau Champ,New Field
Opérationnel:,Operational:
Organisez par,Organize by
Par Service :,By Service:
Par catégorie,By category
Par nom (A-Z),By name (A-Z)
Par référence,By reference
"Paris, France",
Partiellement,Partially
Permissions :,Permissions:
Pierre Dubois,
Planification,Planning
Professionnel,Professional
Progression :,Progress:
QUESTIONNAIRE,QUIZ
Rechercher...,To research...
Responsable *,Responsible *
Responsable :,Responsible :
Réinitialiser,Reset
Rôle actuel :,Current role:
SOC 2 Type II,
Score Calculé,Calculated Score
Statut actuel,Current status
Statut global,Overall Status
Super Admin :,Super Admin:
TOTAL RISQUES,TOTAL RISKS
Taux d'alerte,Alert rate
Technologique,Technological
Temps estimé:,Estimated time:
Total Risques,Total Risks
Total preuves,Total evidence
Toute période,Any period
Type d'action,Action type
Types d'Audit,Types of Audit
URL d'accès :,Access URL:
Urgence (1-5),Emergency (1-5)
Utilisateur :,User :
Version 4.2.1,
Visualisation,Visualization
Voir archives,See archives
Voir clés API,See API keys
Voir la Vidéo,Watch the Video
Voir la liste,See the list
Voir réponses,See answers
Votre formule,Your formula
Votre société,Your company
Word standard,Standard Word
l'utilisateur,the user
nom technique,technical name
tableaux_bord,dashboards
type de champ,field type
Élevé (11-16),High (11-16)
Évaluations :,Ratings:
évaluation(s),evaluation(s)

1 - Très rare:,1 - Very rare:
4 - Important:,
Accès interdit,Access prohibited
Admin Client :,Customer Admin:
Admin client :,Customer Admin:
Administration,
Ajouter Risque,Add Risk
Ajouter mesure,Add measurement
Ajouter option,Add option
Ajouter preuve,Add proof
Anciens noms :,Former names:
Aucun document,No documents
Aucun template,No template
Aucune archive,No archives
Aucune formule,No formula
Autres risques,Other risks
Avantages Clés,Key Benefits
Blog technique,Technical blog
CONTACTEZ-NOUS,CONTACT US
CSV Analytique,CSV Analytics
Cartographie :,Mapping:
Cause racine :,Root cause:
Causes racines,Root causes
Certifié 27001,Certified 27001
Changer statut,Change status
Choix multiple,Multiple choice
Clients actifs,Active customers
Clients totaux,Total customers
Configurations,Settings
Constatation :,Finding:
Contactez-nous,Contact us
Copier le lien,Copy link
Créer la liste,Create the list
Créer le champ,Create the field
Créer un audit,Create an audit
DERNIÈRE ÉVAL.,LAST EVAL.
Date archivage,Archive date
Date de début:,Start date:
Date de mesure,Measurement date
Debug filtrage,Debug filtering
Effectuée par:,Performed by:
En Préparation,In preparation
Environnements,Environments
Erreur serveur,Server error
Espace utilisé,Space used
Exporter liste,Export list
Fichier JSON :,JSON file:
Fonctionnalité,Functionality
Format attendu,Expected format
Gérer l'Équipe,Manage the Team
Haute priorité,High priority
Impact ajusté:,Adjusted Impact:
Impact estimé:,Estimated impact:
Informations :,Information:
Interprétation,Interpretation
Jours restants,Remaining days
KRI Surveillés,KRIs Monitored
Limite formule,Formula limit
Mode Sélection,Selection Mode
Modifier infos,Edit info
Module inactif,Module inactive
Modules inclus,Modules included
Mot de passe :,Password :
Nom de l'audit,Audit Name
Nom du fichier,File name
Nom du service,Service Name
Nom technique:,Technical name:
Non applicable,Not applicable
Non catégorisé,Uncategorized
Non renseignée,Not specified
Non-conformité,Non-compliance
Notes internes,Internal notes
Nous contacter,Contact us
Nouveau Client,New Customer
Nouveau Risque,New Risk
Nouveau client,New customer
Nouveau risque,New risk
Nouveau statut,New status
Nouvelle Liste,New List
Plan en retard,Late plan
Plans Terminés,Completed Plans
Plans d'Action,Action Plans
Plans d'action,Action plans
Plans réalisés,Plans made
Plus d'actions,More actions
Plus d'options,More options
Priorité (1-5),Priority (1-5)
Pré-évaluation,Pre-assessment
Questionnaire:,Quiz:
Questionnaires,
RGPD Compliant,GDPR Compliant
Recommandation,Recommendation
Restaurer tous,Restore all
Restrictions :,Restrictions:
Risque associé,Associated risk
Risques Actifs,Active Risks
Risques actifs,Active risks
Réglementation,Regulation
Samedi: 9h-18h,Saturday: 9 a.m.-6 p.m.
Section active,Active section
Seuil critique,Critical threshold
Seuil d'alerte,Alert threshold
Site principal,Main site
Structure JSON,JSON structure
Support Client,Customer Support
Supprimer tout,Delete all
Taux de retard,Delay rate
Total archivés,Total archived
Tous les rôles,All roles
Tous les types,All types
Tout supprimer,Delete all
Type d'analyse,Analysis type
Type d'audit :,Audit type:
Type d'élément,Item Type
URL demandée :,Requested URL:
Vider le cache,Clear cache
Voir la veille,See the day before
Voir le client,See the customer
Voir le risque,See the risk
Voir le résumé,See the summary
Vue d'ensemble,Overview
Vérifications:,Checks:
can_edit_users,
de cet audit ?,of this audit?
environnements,environments
risques actifs,active risks
sélectionné(s),selected
Éléments total,Total items
Équipe d'Audit,Audit Team
3 derniers mois,last 3 months
5GB de stockage,5GB of storage
Accès restreint,Restricted access
Actions Actives,Active Actions
Actions Rapides,Quick Actions
Actions rapides,Quick Actions
Actions système,System actions
Activer ce mode,Activate this mode
Admin seulement,Admin only
Administrateurs,Administrators
Aucune activité,No activity
Audits Terminés,Audits Completed
Audits assignés,Audits assigned
Audits clôturés,Audits closed
Audits comparés,Comparative audits
Audits en Cours,Audits in progress
Audits en cours,Audits in progress
Audits externes,External audits
Audits internes,Internal audits
Base de données,Database
Changer formule,Change formula
Changer le type,Change type
Clients Premium,Premium Customers
Clients récents,Recent customers
Clés API Client,Client API Keys
Confidentialité,Confidentiality
Conformité RGPD,GDPR compliance
Créer et Éditer,Create and Edit
Créer le Risque,Create Risk
Date création :,Creation date:
Date d'échéance,Due date
Date fin prévue,Expected end date
Dernière mesure,Last measurement
Dernière valeur,Last value
Durée standard:,Standard duration:
En confirmation,In confirmation
Environnement :,Environment :
Exporter en PDF,Export to PDF
Fiche du Risque,Risk Sheet
Fiche détaillée,Detailed sheet
Fonctionnalités,Features
Format d'export,Export format
Gestion Clients,Customer Management
Guide des rôles,Role Guide
Générer QR Code,Generate QR Code
Générer rapport,Generate report
Hiérarchisation,Prioritization
Impact estimé :,Estimated impact:
Indicateurs KPI,KPI indicators
Indicateurs KRI,KRI indicators
Intégration API,API integration
Jamais connecté,Never logged in
Lien de reprise,Recovery link
Lues uniquement,Read only
Lun-Ven: 9h-18h,Mon-Fri: 9am-6pm
Mes Permissions,My Permissions
Mode d'import :,Import method:
Non applicables,Not applicable
Non renseignées,Not specified
Non-conformités,Non-conformities
Nouveau Service,New Service
Nouveaux noms :,New names:
Nouvelle Mesure,New Measure
Nouvelle Veille,New Watch
Nouvelle mesure,New measure
Nouvelle veille,New watch
Page précédente,Previous page
Par Direction :,By Direction:
Pièges à Éviter,Pitfalls to Avoid
Plus d'éléments,More items
Rapport complet,Full report
Recommandation:,Recommendation:
Recommandations,Recommendations
Risque associé:,Associated risk:
Risque existant,Existing risk
Risques Évalués,Assessed Risks
Référent métier,Business referent
Réglementation:,Regulation:
Rôles autorisés,Authorized roles
